Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,275.029999,279.489990,273.559998,274.369995,271.477570,71176700
2022-09-27,277.809998,280.209991,272.109985,274.480011,271.586395,69780100
2022-09-28,274.459991,281.250000,272.950012,279.940002,276.988831,79652100
2022-09-29,275.859985,276.250000,268.839996,271.869995,269.003906,81216000
2022-09-30,271.029999,275.190002,267.100006,267.260010,264.442505,78482400
2022-10-03,269.070007,275.160004,267.529999,273.529999,270.646423,61267400
2022-10-04,278.989990,282.850006,278.989990,282.130005,279.155731,66696900
2022-10-05,278.279999,283.809998,275.420013,281.980011,279.007355,55766300
2022-10-06,280.959991,284.179993,279.429993,279.760010,276.810760,53489400
2022-10-07,275.019989,275.149994,267.739990,269.100006,266.263092,71354700
2022-10-10,269.299988,269.700012,263.640015,266.410004,263.601471,60393000
2022-10-11,264.700012,267.630005,261.029999,262.750000,259.980072,66522500
2022-10-12,263.399994,265.359985,261.950012,262.660004,259.890991,50580200
2022-10-13,255.160004,270.170013,254.259995,268.820007,265.986053,112894100
2022-10-14,271.200012,271.809998,260.140015,260.739990,257.991211,77244300
2022-10-17,266.839996,270.239990,266.739990,269.350006,266.510498,64576500
2022-10-18,276.529999,277.209991,268.739990,271.480011,268.618011,69781000
2022-10-19,269.929993,273.679993,268.070007,270.489990,267.638489,53115400
2022-10-20,269.579987,274.839996,267.920013,269.109985,266.272919,60605500
2022-10-21,267.980011,275.970001,266.820007,275.420013,272.516541,77897700
2022-10-24,275.690002,279.399994,271.970001,278.450012,275.514496,63963600
2022-10-25,279.410004,284.600006,277.899994,284.209991,281.213837,59014500
2022-10-26,278.459991,283.980011,277.429993,277.929993,275.000031,63492400
2022-10-27,276.790009,278.279999,272.339996,272.869995,269.993347,57760300
2022-10-28,272.230011,281.700012,272.059998,281.220001,278.255341,62651300
2022-10-31,278.920013,279.760010,275.989990,277.950012,275.019806,47742000
2022-11-01,281.500000,282.070007,274.739990,275.109985,272.209747,45895900
2022-11-02,275.079987,278.209991,265.609985,265.679993,262.879150,79803100
2022-11-03,263.010010,264.500000,260.100006,260.489990,257.743835,70038900
2022-11-04,265.529999,266.609985,259.079987,264.679993,261.889740,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,264.769012,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,266.698486,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,260.544067,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,279.769226,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,284.924255,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,282.430817,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,286.339233,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,282.430817,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,281.807465,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,281.817383,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,278.918304,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,282.935547,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,285.775177,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,283.895233,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,279.729614,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,277.612183,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,290.267365,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,290.623596,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,289.465912,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,284.607666,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,278.710449,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,277.572632,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,280.857635,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,279.066711,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,282.569305,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,285.606995,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,283.489563,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,273.970978,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,271.358826,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,267.545258,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,267.337006,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,271.215027,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,264.579712,60278400
2022-12-23,265.470001,268.040009,263.529999,267.359985,265.174774,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,261.425629,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,257.974152,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,264.262299,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,264.103638,37858300
2023-01-03,268.649994,270.149994,262.130005,264.480011,262.318329,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,263.567993,47754900
